"ID";"NameOfStation";"Line";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Year";"Month";"global_id";"geodata_center";"geoarea";
"№ п/п";"Станция метрополитена";"Линия";"Долгота в WGS-84";"Широта в WGS-84";"Административный округ";"Район";"Год";"Месяц";"global_id";"geodata_center";"geoarea";
"7";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Февраль";"2571520023";"";"";
"8";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Февраль";"2571520031";"";"";
"9";"Нагатинская";"Серпуховско-Тимирязевская линия";"37.62285";"55.68386";"Южный административный округ";"Нагорный район";"2023";"Февраль";"2571520043";"";"";
"10";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Февраль";"2571520052";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Март";"2580342845";"";"";
"2";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Март";"2580342878";"";"";
"3";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Март";"2580342908";"";"";
"4";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Март";"2580342945";"";"";
"5";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Март";"2580342978";"";"";
"6";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Март";"2580343018";"";"";
"7";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Март";"2580343047";"";"";
"8";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Март";"2580343076";"";"";
"9";"Автозаводская";"Замоскворецкая линия";"37.65858";"55.70801";"Южный административный округ";"Даниловский район";"2023";"Март";"2580343098";"";"";
"10";"Пражская";"Серпуховско-Тимирязевская линия";"37.60499";"55.61354";"Южный административный округ";"район Чертаново Центральное";"2023";"Март";"2580343131";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Апрель";"2587545921";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Апрель";"2587545958";"";"";
